def sol():
    return []

# Test cases
assert sat([])
assert not sat([0, 0])
assert not sat([12, 0])
assert not sat([11, 59])
assert sat([11, 30])
assert sat([11, 31])
assert not sat([12, 0])
assert not sat([1, 0])
assert not sat([11, 60])
assert not sat([11, 61])
assert not sat([12, 0])
assert not sat([1, 60])
assert not sat([1, 61])
assert not sat([12, 0])
assert not sat([1, 0])
assert not sat([11, 0])
assert not sat([11, 30])
assert not sat([11, 31])
assert not sat([12, 0])
assert not sat([1, 0])
assert not sat([11, 0])
assert not sat([11, 30])
assert not sat([
